9848	9912	-1	trnP	tRNA	6.500000190867716e-12	global	1
13580	13645	1	trnM	tRNA	4.599999894883133e-11	global	1
11676	11739	-1	trnT	tRNA	4.8999998503163056e-11	global	1
13510	13576	1	trnW	tRNA	4.100000061679765e-10	global	1
7495	7563	1	trnS1	tRNA	2.800000009628434e-09	global	1
492	561	1	trnL2	tRNA	6.600000101997239e-09	global	1
1532	1599	1	trnA	tRNA	7.4000001681895355e-09	global	1
8821	8885	1	trnC	tRNA	1.1000000021965661e-08	global	1
5124	5190	1	trnQ	tRNA	1.2000000104706032e-08	global	1
15897	15963	1	trnV	tRNA	3.099999901223782e-08	global	1
1607	1672	1	trnG	tRNA	3.2999999177718564e-08	global	1
8744	8808	1	trnH	tRNA	8.39999998447638e-08	global	1
9922	9988	1	trnS2	tRNA	1.1000000199601345e-07	global	1
1459	1526	1	trnI	tRNA	3.3000000598804036e-07	global	1
15824	15890	1	trnL1	tRNA	9.999999974752427e-07	global	1
5199	5267	1	trnR	tRNA	1.3000000080864993e-06	global	1
2480	2546	1	trnK	tRNA	2.1999999262334313e-06	global	1
1393	1456	1	trnY	tRNA	3.099999958067201e-06	global	1
8669	8734	1	trnF	tRNA	3.900000137946336e-06	global	1
4849	4914	1	trnD	tRNA	8.89999955688836e-06	global	1
13415	13484	1	trnE	tRNA	9.700000191514846e-06	global	1
1285	1351	1	trnN	tRNA	2.300000051036477e-05	global	1
13580	13645	1	trnM	tRNA	4.599999894883133e-11	global	1
11676	11739	-1	trnT	tRNA	4.8999998503163056e-11	global	1
13510	13576	1	trnW	tRNA	4.100000061679765e-10	global	1
7495	7563	1	trnS1	tRNA	2.800000009628434e-09	global	1
492	561	1	trnL2	tRNA	6.600000101997239e-09	global	1
1532	1599	1	trnA	tRNA	7.4000001681895355e-09	global	1
8821	8885	1	trnC	tRNA	1.1000000021965661e-08	global	1
5124	5190	1	trnQ	tRNA	1.2000000104706032e-08	global	1
9853	9912	-1	trnP	tRNA	1.3000000187446403e-08	global	1
15897	15963	1	trnV	tRNA	3.099999901223782e-08	global	1
1607	1672	1	trnG	tRNA	3.2999999177718564e-08	global	1
8744	8808	1	trnH	tRNA	8.39999998447638e-08	global	1
9922	9988	1	trnS2	tRNA	1.1000000199601345e-07	global	1
1459	1526	1	trnI	tRNA	3.3000000598804036e-07	global	1
15824	15890	1	trnL1	tRNA	9.999999974752427e-07	global	1
5199	5267	1	trnR	tRNA	1.3000000080864993e-06	global	1
2480	2546	1	trnK	tRNA	2.1999999262334313e-06	global	1
1393	1456	1	trnY	tRNA	3.099999958067201e-06	global	1
8669	8734	1	trnF	tRNA	3.900000137946336e-06	global	1
4849	4914	1	trnD	tRNA	8.89999955688836e-06	global	1
13415	13484	1	trnE	tRNA	9.700000191514846e-06	global	1
1285	1351	1	trnN	tRNA	2.300000051036477e-05	global	1
14526	15791	1	rrnL	rRNA	0.0	global	1
13651	14461	1	rrnS	rRNA	0.0	global	1
14526	15791	1	rrnL	rRNA	0.0	global	1
13651	14461	1	rrnS	rRNA	0.0	global	1
